City ID,City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
83,2446267,Dakoro,NE,14.5106,6.765,92.57,8,17,8.68
84,3128174,Bermeo,ES,43.4209,-2.7215,56.61,80,45,12.93
85,2134814,Sola,VU,-13.8833,167.55,78.13,77,93,20.22
86,935215,Saint-Philippe,RE,-21.3585,55.7679,69.76,78,85,13.71
87,3587498,Acajutla,SV,13.5928,-89.8275,89.8,63,76,6.22
88,3440777,Rocha,UY,-34.4833,-54.3333,54.55,70,36,12.62
89,2447416,Ayorou,NE,14.7308,0.9174,98.69,21,53,7.99
90,2017155,Saskylakh,RU,71.9167,114.0833,36.93,89,7,5.46
91,1732826,Mersing,MY,2.4312,103.8405,76.91,88,99,5.75
92,2155415,New Norfolk,AU,-42.7826,147.0587,50.97,66,100,3.04
93,934517,Flic en Flac,MU,-20.2742,57.3631,73.54,74,43,10.96
94,2172880,Byron Bay,AU,-28.65,153.6167,56.89,77,84,5.26
95,964712,Plettenberg Bay,ZA,-34.0527,23.3716,62.62,66,100,3.31
96,3466165,Cidreira,BR,-30.1811,-50.2056,58.93,64,0,14.76
97,2110227,Butaritari,KI,3.0707,172.7902,75.2,93,100,9.86
98,1507390,Dikson,RU,73.5069,80.5464,21.16,92,35,6.49
99,2455290,Kidal,ML,18.4411,1.4078,96.8,19,48,13.96
100,6201424,Mataura,NZ,-46.1927,168.8643,32.25,93,6,3.04
101,2126199,Cherskiy,RU,68.75,161.3,47.62,46,4,9.53
102,4033077,Vaitape,PF,-16.5167,-151.75,81.64,75,96,12.19
103,1642773,Japura,ID,-0.3167,102.35,74.46,97,90,2.01
104,3883457,Lebu,CL,-37.6167,-73.65,56.52,90,82,6.49
105,3899695,Ancud,CL,-41.8697,-73.8203,48.74,69,80,11.21
106,709665,Dovbysh,UA,50.3733,27.9874,51.46,82,54,3.31
107,3374036,Bridgetown,BB,13.1,-59.6167,82.89,74,75,17.13
108,3664980,Boa Vista,BR,2.8197,-60.6733,82.38,74,75,5.75
109,5557293,Sitka,US,57.0531,-135.33,49.33,76,98,3.38
110,4500546,Atlantic City,US,39.3643,-74.4229,62.02,58,90,12.71
111,1491977,Shumskiy,RU,54.8318,99.1328,46.4,74,97,9.69
112,6255012,Flinders,AU,-34.5833,150.8552,55.35,92,100,1.01
113,3839307,Rawson,AR,-43.3002,-65.1023,55.4,36,0,26.06
114,3372707,Ribeira Grande,PT,38.5167,-28.7,62.76,73,100,17.83
115,1106677,Bambous Virieux,MU,-20.3428,57.7575,73.65,75,30,15.1
116,3395239,Massapê,BR,-3.5228,-40.3428,78.51,78,82,3.6
